course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites
MASTERS THESIS,LEC,1-16,,,,Stewart,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27023,6990,02,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,McGuinness,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,27070,6990,04,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Holzbauer,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,29294,6990,05,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Su,,5,0,5,CSCI,2020-08-28,2020-12-21,FALL 2020,29018,6990,06,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,,1-16,,,,Gao,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,29339,6990,07,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Bringsjord,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,25963,6990,08,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Bennett,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27113,6990,09,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Milanova,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27189,6990,10,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Cutler,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27195,6990,11,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Franklin,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27206,6990,12,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Zaki,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27249,6990,13,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Varela,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27250,6990,14,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Adali,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27462,6990,15,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Szymanski,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,26005,6990,16,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Shephard,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,26010,6990,17,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Bystroff,,5,0,5,CSCI,2020-08-28,2020-12-21,FALL 2020,27507,6990,19,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Fox,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27557,6990,20,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Berman,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,28079,6990,23,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Carothers,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,26011,6990,27,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Magdon-Ism,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,26012,6990,29,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Patterson,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,28142,6990,30,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Xia,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,28144,6990,33,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Nirenburg,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,28146,6990,34,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Yener,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,26558,6990,35,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
MASTERS THESIS,LEC,1-16,,,,Slota,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,29262,6990,36,CSCI-6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library.",,,[],[]
DISSERTATION,LEC,1-15,,,,Zaki,,10,4,6,CSCI,2020-08-28,2020-12-21,FALL 2020,25726,9990,01,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Fox,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,26706,9990,03,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Stewart,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,25762,9990,04,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Hendler,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,26830,9990,05,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Gittens,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,25763,9990,06,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Cutler,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,26844,9990,07,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Bringsjord,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,25806,9990,08,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Carothers,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,26864,9990,09,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Slota,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,29263,9990,10,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Shephard,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,26569,9990,11,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Bystroff,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,26884,9990,12,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Anshelevic,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,26897,9990,13,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Adali,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,25969,9990,14,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Szymanski,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,25975,9990,16,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Su,,5,1,4,CSCI,2020-08-28,2020-12-21,FALL 2020,29019,9990,17,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Milanova,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,26501,9990,18,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Yener,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,25977,9990,20,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Gao,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,29296,9990,21,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Berman,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,28080,9990,23,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Si,,5,0,5,CSCI,2020-08-28,2020-12-21,FALL 2020,28995,9990,24,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Sun,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,27065,9990,25,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,McGuinness,,10,4,6,CSCI,2020-08-28,2020-12-21,FALL 2020,27071,9990,26,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Franklin,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,26598,9990,28,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Magdon-Ism,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,26013,9990,29,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Patterson,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,28143,9990,30,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Bennett,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,27184,9990,31,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Varela,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,26014,9990,32,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Xia,,10,2,8,CSCI,2020-08-28,2020-12-21,FALL 2020,28145,9990,33,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Nirenburg,,10,0,10,CSCI,2020-08-28,2020-12-21,FALL 2020,28147,9990,34,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Strzalkows,,10,1,9,CSCI,2020-08-28,2020-12-21,FALL 2020,26710,9990,37,CSCI-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
INTERMEDIATE MICROECON THEORY,LEC,4,MR,6:00PM,7:50PM,Jones,,90,62,28,ECON,2020-08-28,2020-12-21,FALL 2020,25525,2010,01,ECON-2010,Intermediate Microeconomic Theory,"This course combines demand, derived from consumer preferences, and supply, based on firms' production functions, to establish market prices for goods and services. Calculus-based techniques are used to minimize costs and maximize utility and profits across differing industry structures. Product pricing strategies are examined. The course also provides an introduction to topics such as the pricing of stocks and bonds, game theory, positive and negative externalities, asymmetric information, and behavioral economics.Applies the microeconomic theory of the firm to price, cost, and output decisions of business enterprises under different market structures. Regression analysis of demand and cost, linear programming of production and simulation analysis of risk, and capital budgeting are also presented.","IHSS 1200 and MATH 1010 or MATH 1500, or permission of instructor.",Fall and spring terms annually.,"['IHSS-1200', 'MATH-1010', 'MATH-1500']","['IHSS-1200', 'MATH-1010', 'MATH-1500']"
INTERMEDIATE MICROECON THEORY,LEC,4,TF,8:00AM,9:50AM,Jones,,90,56,34,ECON,2020-08-28,2020-12-21,FALL 2020,25526,2010,02,ECON-2010,Intermediate Microeconomic Theory,"This course combines demand, derived from consumer preferences, and supply, based on firms' production functions, to establish market prices for goods and services. Calculus-based techniques are used to minimize costs and maximize utility and profits across differing industry structures. Product pricing strategies are examined. The course also provides an introduction to topics such as the pricing of stocks and bonds, game theory, positive and negative externalities, asymmetric information, and behavioral economics.Applies the microeconomic theory of the firm to price, cost, and output decisions of business enterprises under different market structures. Regression analysis of demand and cost, linear programming of production and simulation analysis of risk, and capital budgeting are also presented.","IHSS 1200 and MATH 1010 or MATH 1500, or permission of instructor.",Fall and spring terms annually.,"['IHSS-1200', 'MATH-1010', 'MATH-1500']","['IHSS-1200', 'MATH-1010', 'MATH-1500']"
INTERMEDIATE MACROECON THEORY,LEC,4,MR,10:00AM,11:50AM,Mahmoudi,,40,36,4,ECON,2020-08-28,2020-12-21,FALL 2020,28010,2020,01,ECON-2020,Intermediate Macroeconomic Theory,"Attention is directed primarily to variations in the aggregate volume of output, income, and employment. Cyclical fluctuations and long-term economic trends are examined and the interrelations of business and government policies are analyzed. The applicability of economic theory to the problems of business forecasting is discussed.","IHSS 1200 and MATH 1010 or MATH 1500, or permission of instructor.",Fall and spring terms annually.,"['IHSS-1200', 'MATH-1010', 'MATH-1500']","['IHSS-1200', 'MATH-1010', 'MATH-1500']"
INTERMEDIATE MACROECON THEORY,LEC,4,TF,12:00PM,1:50PM,Staff,,65,23,42,ECON,2020-08-28,2020-12-21,FALL 2020,28138,2020,02,ECON-2020,Intermediate Macroeconomic Theory,"Attention is directed primarily to variations in the aggregate volume of output, income, and employment. Cyclical fluctuations and long-term economic trends are examined and the interrelations of business and government policies are analyzed. The applicability of economic theory to the problems of business forecasting is discussed.","IHSS 1200 and MATH 1010 or MATH 1500, or permission of instructor.",Fall and spring terms annually.,"['IHSS-1200', 'MATH-1010', 'MATH-1500']","['IHSS-1200', 'MATH-1010', 'MATH-1500']"
INTERMEDIATE MACROECON THEORY,LEC,4,MR,2:00PM,3:50PM,Mahmoudi,,65,27,38,ECON,2020-08-28,2020-12-21,FALL 2020,29127,2020,03,ECON-2020,Intermediate Macroeconomic Theory,"Attention is directed primarily to variations in the aggregate volume of output, income, and employment. Cyclical fluctuations and long-term economic trends are examined and the interrelations of business and government policies are analyzed. The applicability of economic theory to the problems of business forecasting is discussed.","IHSS 1200 and MATH 1010 or MATH 1500, or permission of instructor.",Fall and spring terms annually.,"['IHSS-1200', 'MATH-1010', 'MATH-1500']","['IHSS-1200', 'MATH-1010', 'MATH-1500']"
READINGS IN ECONOMICS,,1-4,,,,Staff,,0,0,0,ECON,2020-08-28,2020-12-21,FALL 2020,26775,2940,00,ECON-2940,Readings in Economics,,,,[],[]
ECON ANALYSIS OF TECH CHANGE,SEM,4,MR,12:00PM,1:50PM,Simons,,19,19,0,ECON,2020-08-28,2020-12-21,FALL 2020,29489,4110,01,ECON-4110,Economics of Innovation and New Technologies,"Technological innovation is responsible for most economic growth and is crucial to deal with major societal concerns. This course examines the economics of innovation and new technologies. It shows how technologies are created and put to use, from basic science through invention and development to diffusion and practical use. Additional topics include R&D determinants, sources of innovation, product improvement, cost reduction, incentivizing and stimulating innovation, patents, evolution of innovation and technology, innovative competition in industry, and the national innovation environment. This is a communication-intensive course.","IHSS 1200 or ECON 1200, and MATH 1010 or MATH 1500.",Fall term annually.,"['IHSS-1200', 'ECON-1200', 'MATH-1010', 'MATH-1500']","['IHSS-1200', 'ECON-1200', 'MATH-1010', 'MATH-1500']"
MONEY & BANKING,LEC,4,MR,4:00PM,5:50PM,Parrales,,200,128,72,ECON,2020-08-28,2020-12-21,FALL 2020,25988,4130,01,ECON-4130,Money and Banking,"Financial institutions, especially commercial banking and the Federal Reserve System, are considered from three perspectives: their monetary roles; trends in the economic, organizational, and technological aspects of their operations; and their other economic roles-a critical view. Also, the role of money in macroeconomic theory is considered along with the role of monetary policies in relation to the problems of inflation and unemployment.",Prerequisite: ECON 1200/IHSS 1200 or permission of instructor.,Fall and spring terms annually.,"['ECON-1200', 'IHSS-1200']",[]
